,word,type,cefr,phon_br,phon_n_am,definition,example,uk,us
29,access,noun,b1,/ˈækses/,/ˈækses/,the opportunity or right to use something or to see somebody/something,High-speed internet access has become a necessity.,access_uk.mp3,access_us.mp3
30,access,verb,b1,/ˈækses/,/ˈækses/,to open a computer file or use a computer system,Most people use their phones to access the internet.,access_uk.mp3,access_us.mp3
31,accessible,adjective,c1,/əkˈsesəbl/,/əkˈsesəbl/,"that can be reached, entered, used, seen, etc.",The remote desert area is accessible only by helicopter.,accessible_uk.mp3,accessible_us.mp3
32,accident,noun,a2,/ˈæksɪdənt/,/ˈæksɪdənt/,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",a car/road/traffic accident,accident_uk.mp3,accident_us.mp3
33,accidentally,adverb,b2,/ˌæksɪˈdentəli/,/ˌæksɪˈdentəli/,by chance; in a way that was not planned,"As I turned around, I accidentally hit him in the face.",accidentally_uk.mp3,accidentally_us.mp3
34,accommodate,verb,b2,/əˈkɒmədeɪt/,/əˈkɑːmədeɪt/,"to provide somebody with a room or place to sleep, live or sit",The hotel can accommodate up to 500 guests.,accommodate_uk.mp3,accommodate_us.mp3
35,accommodation,noun,b1,/əˌkɒməˈdeɪʃn/,/əˌkɑːməˈdeɪʃn/,"a place to live, work or stay in",rented/temporary accommodation,accommodation_uk.mp3,accommodation_us.mp3
36,accompany,verb,b2,/əˈkʌmpəni/,/əˈkʌmpəni/,to travel or go somewhere with somebody/something,"accompany somebody/something + adv./prep., His wife accompanied him on the trip.",accompany_uk.mp3,accompany_us.mp3
37,accomplish,verb,b2,/əˈkʌmplɪʃ/,/əˈkɑːmplɪʃ/,to succeed in doing or completing something,The first part of the plan has been safely accomplished.,accomplish_uk.mp3,accomplish_us.mp3
38,accomplishment,noun,c1,/əˈkʌmplɪʃmənt/,/əˈkɑːmplɪʃmənt/,an impressive thing that is done or achieved after a lot of work,It was one of the President's greatest accomplishments.,accomplishment_uk.mp3,accomplishment_us.mp3
39,accordance,noun,c1,/əˈkɔːdns/,/əˈkɔːrdns/,according to a rule or the way that somebody says that something should be done,in accordance with legal requirements,accordance_uk.mp3,accordance_us.mp3
40,according to,preposition,a2,/əˈkɔːdɪŋ tə/,/əˈkɔːrdɪŋ tə/,as stated or reported by somebody/something,"According to Mick, it's a great movie.",according to_uk.mp3,according to_us.mp3
41,accordingly,adverb,c1,/əˈkɔːdɪŋli/,/əˈkɔːrdɪŋli/,in a way that is appropriate to what has been done or said in a particular situation,We have to discover his plans and act accordingly.,accordingly_uk.mp3,accordingly_us.mp3
42,account,noun,b1,/əˈkaʊnt/,/əˈkaʊnt/,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.",I don't have a bank account.,account_uk.mp3,account_us.mp3
43,account,verb,b2,/əˈkaʊnt/,/əˈkaʊnt/,to have the opinion that somebody/something is a particular thing,"be accounted + adj., In English law a person is accounted innocent until they are proved guilty.",account_uk.mp3,account_us.mp3
44,accountability,noun,c1,/əˌkaʊntəˈbɪləti/,/əˌkaʊntəˈbɪləti/,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,proposals for greater police accountability,accountability_uk.mp3,accountability_us.mp3
45,accountable,adjective,c1,/əˈkaʊntəbl/,/əˈkaʊntəbl/,responsible for your decisions or actions and expected to explain them when you are asked,The state spends taxpayers’ money and should be held accountable.,accountable_uk.mp3,accountable_us.mp3
46,accountant,noun,b2,/əˈkaʊntənt/,/əˈkaʊntənt/,a person whose job is to keep or check financial accounts,We talked to the company’s chief accountant.,accountant_uk.mp3,accountant_us.mp3
47,accumulate,verb,c1,/əˈkjuːmjəleɪt/,/əˈkjuːmjəleɪt/,to gradually get more and more of something over a period of time,I seem to have accumulated a lot of books.,accumulate_uk.mp3,accumulate_us.mp3
48,accumulation,noun,c1,/əˌkjuːmjəˈleɪʃn/,/əˌkjuːmjəˈleɪʃn/,the process of gradually increasing or getting more and more of something over a period of time,the accumulation of wealth,accumulation_uk.mp3,accumulation_us.mp3
49,accuracy,noun,b2,/ˈækjərəsi/,/ˈækjərəsi/,the state of being exact or correct; the ability to do something with skill and without making mistakes,They questioned the accuracy of the information in the file.,accuracy_uk.mp3,accuracy_us.mp3
50,accurate,adjective,b2,/ˈækjərət/,/ˈækjərət/,correct and true in every detail,an accurate description/picture of something,accurate_uk.mp3,accurate_us.mp3
51,accurately,adverb,b2,/ˈækjərətli/,/ˈækjərətli/,in a way that is correct and true in every detail,The article accurately reflects public opinion.,accurately_uk.mp3,accurately_us.mp3
52,accusation,noun,c1,/ˌækjuˈzeɪʃn/,/ˌækjuˈzeɪʃn/,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,I don't want to make an accusation until I have some proof.,accusation_uk.mp3,accusation_us.mp3
53,accuse,verb,b2,/əˈkjuːz/,/əˈkjuːz/,to say that somebody has done something wrong or is guilty of something,"accuse somebody of something, to accuse somebody of murder/a crime",accuse_uk.mp3,accuse_us.mp3
54,accused,noun,c1,/ði əˈkjuːzd/,/ði əˈkjuːzd/,a person who is on trial for committing a crime,The accused was found innocent.,accused_uk.mp3,accused_us.mp3
55,achieve,verb,a2,/əˈtʃiːv/,/əˈtʃiːv/,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",He had finally achieved success.,achieve_uk.mp3,achieve_us.mp3
56,achievement,noun,b1,/əˈtʃiːvmənt/,/əˈtʃiːvmənt/,"a thing that somebody has done successfully, especially using their own effort and skill",the greatest scientific achievement of the decade,achievement_uk.mp3,achievement_us.mp3
57,acid,adjective,c1,/ˈæsɪd/,/ˈæsɪd/,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,"Rye is tolerant of poor, acid soils.",acid_uk.mp3,acid_us.mp3
58,acid,noun,b2,/ˈæsɪd/,/ˈæsɪd/,"a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt. Acids usually have a bitter sharp taste and can often burn holes in or damage things they touch.",The acid burned a hole in her coat.,acid_uk.mp3,acid_us.mp3
59,acknowledge,verb,b2,/əkˈnɒlɪdʒ/,/əkˈnɑːlɪdʒ/,to accept that something is true,"acknowledge something, She refuses to acknowledge the need for reform.",acknowledge_uk.mp3,acknowledge_us.mp3
60,acquire,verb,b2,/əˈkwaɪə(r)/,/əˈkwaɪər/,"to gain something by your own efforts, ability or behaviour",She has acquired a good knowledge of English.,acquire_uk.mp3,acquire_us.mp3
61,acquisition,noun,c1,/ˌækwɪˈzɪʃn/,/ˌækwɪˈzɪʃn/,"the act of getting something, especially knowledge, a skill, etc.",theories of child language acquisition,acquisition_uk.mp3,acquisition_us.mp3
62,acre,noun,c1,/ˈeɪkə(r)/,/ˈeɪkər/,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres,3 000 acres of parkland,acre_uk.mp3,acre_us.mp3
63,across,adverb,a1,/əˈkrɒs/,/əˈkrɔːs/,from one side to the other side,It's too wide. We can't swim across.,across_uk.mp3,across_us.mp3
64,across,preposition,a1,/əˈkrɒs/,/əˈkrɔːs/,from one side to the other side of something,He walked across the field.,across_uk.mp3,across_us.mp3
65,act,noun,b1,/ækt/,/ækt/,a particular thing that somebody does,You have committed a serious criminal act.,act_uk.mp3,act_us.mp3
66,act,verb,a2,/ækt/,/ækt/,to do something for a particular purpose or in order to deal with a situation,"act to do something, It is vital that we act to stop the destruction of the rainforests.",act_uk.mp3,act_us.mp3
67,action,noun,a1,/ˈækʃn/,/ˈækʃn/,the process of doing something in order to make something happen or to deal with a situation,The time has come for action if these beautiful animals are to survive.,action_uk.mp3,action_us.mp3
68,activate,verb,b2,/ˈæktɪveɪt/,/ˈæktɪveɪt/,to make something such as a device or chemical process start working,The burglar alarm is activated by movement.,activate_uk.mp3,activate_us.mp3
69,activation,noun,c1,/ˌæktɪˈveɪʃn/,/ˌæktɪˈveɪʃn/,the act of making something such as a device or chemical process start working,The activation of several target genes results in two major effects.,activation_uk.mp3,activation_us.mp3
70,active,adjective,a2,/ˈæktɪv/,/ˈæktɪv/,"always busy doing things, especially physical activities",Staying physically active in later years can also keep you feeling younger. ,active_uk.mp3,active_us.mp3
71,activist,noun,c1,/ˈæktɪvɪst/,/ˈæktɪvɪst/,"a person who works to achieve political or social change, especially as a member of an organization with particular aims",human/civil/animal rights activists,activist_uk.mp3,activist_us.mp3
72,activity,noun,a1,/ækˈtɪvəti/,/ækˈtɪvəti/,a thing that you do for interest or pleasure,leisure/outdoor/recreational activities,activity_uk.mp3,activity_us.mp3
73,actor,noun,a1,/ˈæktə(r)/,/ˈæktər/,"a person who performs on the stage, on television or in films, especially as a profession",Both lead actors (= the ones who play the main parts) are outstanding.,actor_uk.mp3,actor_us.mp3
74,actress,noun,a1,/ˈæktrəs/,/ˈæktrəs/,"a woman who performs on the stage, on television or in films, especially as a profession",The Oscar-winning actress has taken a break from acting.,actress_uk.mp3,actress_us.mp3
75,actual,adjective,b2,/ˈæktʃuəl/,/ˈæktʃuəl/,used to emphasize something that is real or exists in fact,James looks younger than his wife but in actual fact (= really) he is five years older.,actual_uk.mp3,actual_us.mp3
76,actually,adverb,a2,/ˈæktʃuəli/,/ˈæktʃuəli/,"used in speaking to emphasize a fact or a comment, or that something is really true",What did she actually say?,actually_uk.mp3,actually_us.mp3
77,acute,adjective,c1,/əˈkjuːt/,/əˈkjuːt/,very serious or severe,There is an acute shortage of water.,acute_uk.mp3,acute_us.mp3
78,ad,noun,b1,/æd/,/æd/,"a notice, picture or film telling people about a product, job or service",The TV ads were first run last year.,ad_uk.mp3,ad_us.mp3
79,adapt,verb,b2,/əˈdæpt/,/əˈdæpt/,to change your behaviour in order to deal more successfully with a new situation,It's amazing how soon you adapt.,adapt_uk.mp3,adapt_us.mp3
80,adaptation,noun,c1,/ˌædæpˈteɪʃn/,/ˌædæpˈteɪʃn/,"the action or process of changing something, or of being changed, to suit a new purpose or situation",the adaptation of buildings for military purposes,adaptation_uk.mp3,adaptation_us.mp3
81,add,verb,a1,/æd/,/æd/,"to put something together with something else so as to increase the size, number, amount, etc.","add something, Next add the flour.",add_uk.mp3,add_us.mp3
82,addiction,noun,b2,/əˈdɪkʃn/,/əˈdɪkʃn/,"the condition of being unable to stop using or doing something as a habit, especially something harmful",cocaine addiction,addiction_uk.mp3,addiction_us.mp3
83,addition,noun,b1,/əˈdɪʃn/,/əˈdɪʃn/,a thing that is added to something else,All of these technologies are fairly recent additions.,addition_uk.mp3,addition_us.mp3
84,additional,adjective,b2,/əˈdɪʃənl/,/əˈdɪʃənl/,more than was first mentioned or is usual,additional resources/funds/security/funding/costs,additional_uk.mp3,additional_us.mp3
85,additionally,adverb,b2,/əˈdɪʃənəli/,/əˈdɪʃənəli/,in a way that is more than was first mentioned or is usual,"Additionally, the bus service will run on Sundays, every two hours.",additionally_uk.mp3,additionally_us.mp3
86,address,noun,a1,/əˈdres/,/əˈdres/,"details of where somebody lives or works and where letters, etc. can be sent",What's your name and address?,address_uk.mp3,address_us.mp3
87,address,verb,b2,/əˈdres/,/əˈdres/,to think about a problem or a situation and decide how you are going to deal with it,"address something, Your essay does not address the real issues.",address_uk.mp3,address_us.mp3
88,adequate,adjective,b2,/ˈædɪkwət/,/ˈædɪkwət/,"enough in quantity, or good enough in quality, for a particular purpose or need",They'll need an adequate supply of hot water.,adequate_uk.mp3,adequate_us.mp3
89,adequately,adverb,b2,/ˈædɪkwətli/,/ˈædɪkwətli/,"in a way that is enough in quantity, or good enough in quality, for a particular purpose or need",Are you adequately insured?,adequately_uk.mp3,adequately_us.mp3
90,adhere,verb,c1,/ədˈhɪə(r)/,/ədˈhɪr/,to stick to something,"Once in the bloodstream, the bacteria adhere to the surface of the red cells.",adhere_uk.mp3,adhere_us.mp3
91,adjacent,adjective,c1,/əˈdʒeɪsnt/,/əˈdʒeɪsnt/,next to something,The planes landed on adjacent runways.,adjacent_uk.mp3,adjacent_us.mp3
92,adjust,verb,b2,/əˈdʒʌst/,/əˈdʒʌst/,to change something slightly to make it more suitable for a new set of conditions or to make it work better,"adjust something, Watch out for sharp bends and adjust your speed accordingly.",adjust_uk.mp3,adjust_us.mp3
93,adjustment,noun,c1,/əˈdʒʌstmənt/,/əˈdʒʌstmənt/,a small change made to something in order to correct or improve it,I've made a few adjustments to the design.,adjustment_uk.mp3,adjustment_us.mp3
94,administer,verb,c1,/ədˈmɪnɪstə(r)/,/ədˈmɪnɪstər/,"to manage and organize the affairs of a company, an organization, a country, etc.",to administer a charity/fund/school,administer_uk.mp3,administer_us.mp3
95,administration,noun,b2,/ədˌmɪnɪˈstreɪʃn/,/ədˌmɪnɪˈstreɪʃn/,"the activities that are done in order to plan, organize and run a business, school or other institution",Administration costs are passed on to the customer.,administration_uk.mp3,administration_us.mp3
96,administrative,adjective,c1,/ədˈmɪnɪstrətɪv/,/ədˈmɪnɪstreɪtɪv/,connected with organizing the work of a business or an institution,an administrative job/assistant/error,administrative_uk.mp3,administrative_us.mp3
97,administrator,noun,c1,/ədˈmɪnɪstreɪtə(r)/,/ədˈmɪnɪstreɪtər/,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.",Such organizational decisions are made by the hospital administrators.,administrator_uk.mp3,administrator_us.mp3
98,admire,verb,b1,/ədˈmaɪə(r)/,/ədˈmaɪər/,to respect somebody for what they have done or to respect their qualities,"admire somebody/something, I really admire your enthusiasm.",admire_uk.mp3,admire_us.mp3
99,admission,noun,c1,/ədˈmɪʃn/,/ədˈmɪʃn/,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization",Hospital admission is not necessary in most cases.,admission_uk.mp3,admission_us.mp3
100,admit,verb,b1,/ədˈmɪt/,/ədˈmɪt/,"to agree, often unwillingly, that something is true","It was a stupid thing to do, I admit.",admit_uk.mp3,admit_us.mp3
101,adolescent,noun,c1,/ˌædəˈlesnt/,/ˌædəˈlesnt/,a young person who is developing from a child into an adult,adolescents between the ages of 13 and 18 and the problems they face,adolescent_uk.mp3,adolescent_us.mp3
102,adopt,verb,b2,/əˈdɒpt/,/əˈdɑːpt/,to take somebody else’s child into your family and become its legal parent(s),a campaign to encourage childless couples to adopt,adopt_uk.mp3,adopt_us.mp3
103,adoption,noun,c1,/əˈdɒpʃn/,/əˈdɑːpʃn/,the act of adopting a child; the fact of being adopted,She put the baby up for adoption.,adoption_uk.mp3,adoption_us.mp3
104,adult,adjective,a2,/ˈædʌlt/,/əˈdʌlt/,fully grown or developed,preparing young people for adult life,adult_uk.mp3,adult_us.mp3
105,adult,noun,a1,/ˈædʌlt/,/əˈdʌlt/,a fully grown person who is legally responsible for their actions,Children must be accompanied by an adult.,adult_uk.mp3,adult_us.mp3
106,advance,adjective,b2,/ədˈvɑːns/,/ədˈvæns/,done or given before something is going to happen,Please give us advance warning of any changes.,advance_uk.mp3,advance_us.mp3
107,advance,noun,b2,/ədˈvɑːns/,/ədˈvæns/,progress or a development in a particular activity or area of understanding,We live in an age of rapid technological advance.,advance_uk.mp3,advance_us.mp3
108,advance,verb,b2,/ədˈvɑːns/,/ədˈvæns/,"if knowledge, technology, etc. advances, it develops and improves",Technology is advancing at an incredibly rapid pace.,advance_uk.mp3,advance_us.mp3
109,advanced,adjective,b1,/ədˈvɑːnst/,/ədˈvænst/,"having the most modern and recently developed ideas, methods, etc.",Scientists are working on highly advanced technology to replace fossil fuels.,advanced_uk.mp3,advanced_us.mp3
110,advantage,noun,a2,/ədˈvɑːntɪdʒ/,/ədˈvæntɪdʒ/,a thing that helps you to be better or more successful than other people,a distinct/significant/huge advantage,advantage_uk.mp3,advantage_us.mp3
111,adventure,noun,a2,/ədˈventʃə(r)/,/ədˈventʃər/,"an unusual, exciting or dangerous experience, journey or series of events",her adventures travelling in Africa,adventure_uk.mp3,adventure_us.mp3
112,adverse,adjective,c1,/ˈædvɜːs/,/ədˈvɜːrs/,negative and unpleasant; not likely to produce a good result,adverse change/circumstances/weather conditions,adverse_uk.mp3,adverse_us.mp3
113,advertise,verb,a2,/ˈædvətaɪz/,/ˈædvərtaɪz/,to tell the public about a product or a service in order to encourage people to buy or to use it,If you want to attract customers you need to advertise.,advertise_uk.mp3,advertise_us.mp3
114,advertisement,noun,a2,/ədˈvɜːtɪsmənt/,/ˌædvərˈtaɪzmənt/,"a notice, picture or film telling people about a product, job or service",a newspaper/television advertisement,advertisement_uk.mp3,advertisement_us.mp3
115,advertising,noun,a2,/ˈædvətaɪzɪŋ/,/ˈædvərtaɪzɪŋ/,"the activity and industry of advertising things to people on television, in newspapers, on the internet, etc.",Cigarette advertising has been banned.,advertising_uk.mp3,advertising_us.mp3
116,advice,noun,a1,/ədˈvaɪs/,/ədˈvaɪs/,an opinion or a suggestion about what somebody should do in a particular situation,expert/practical/professional/medical advice,advice_uk.mp3,advice_us.mp3
117,advise,verb,b1,/ədˈvaɪz/,/ədˈvaɪz/,to tell somebody what you think they should do in a particular situation,"advise against doing something, I would strongly advise against going out on your own.",advise_uk.mp3,advise_us.mp3
118,advocate,noun,c1,/ˈædvəkət/,/ˈædvəkət/,a person who supports or speaks in favour of somebody or of a public plan or action,"advocate for something/somebody, an advocate for hospital workers",advocate_uk.mp3,advocate_us.mp3
119,advocate,verb,c1,/ˈædvəkeɪt/,/ˈædvəkeɪt/,to support something publicly,"advocate something, The group does not advocate the use of violence.",advocate_uk.mp3,advocate_us.mp3
120,aesthetic,adjective,c1,/iːsˈθetɪk/,/esˈθetɪk/,connected with beauty and art and the understanding of beautiful things,the aesthetic appeal of the songs,aesthetic_uk.mp3,aesthetic_us.mp3
121,affair,noun,b2,/əˈfeə(r)/,/əˈfer/,events that are of public interest or political importance,world/international affairs,affair_uk.mp3,affair_us.mp3
122,affect,verb,a2,/əˈfekt/,/əˈfekt/,to produce a change in somebody/something,How will these changes affect us?,affect_uk.mp3,affect_us.mp3
123,affection,noun,c1,/əˈfekʃn/,/əˈfekʃn/,the feeling of liking or loving somebody/something very much and caring about them,Children need lots of love and affection.,affection_uk.mp3,affection_us.mp3
124,afford,verb,b1,/əˈfɔːd/,/əˈfɔːrd/,to have enough money to be able to buy or do something,"afford something, Can we afford a new car?",afford_uk.mp3,afford_us.mp3
125,affordable,adjective,b2,/əˈfɔːdəbl/,/əˈfɔːrdəbl/,cheap enough that people can afford to pay it or buy it,We offer quality products at affordable prices.,affordable_uk.mp3,affordable_us.mp3
126,afraid,adjective,a1,/əˈfreɪd/,/əˈfreɪd/,feeling fear; frightened because you think that you might be hurt or suffer,Don't be afraid.,afraid_uk.mp3,afraid_us.mp3
127,after,adverb,a2,/ˈɑːftə(r)/,/ˈæftər/,later in time; afterwards,"That was in 1996. Soon after, I heard that he'd died.",after_uk.mp3,after_us.mp3
128,after,conjunction,a2,/ˈɑːftə(r)/,/ˈæftər/,at a time later than something; when something has finished,I'll call you after I've spoken to them.,after_uk.mp3,after_us.mp3
129,after,preposition,a1,/ˈɑːftə(r)/,/ˈæftər/,later than something; following something in time,We'll leave after lunch.,after_uk.mp3,after_us.mp3
130,aftermath,noun,c1,/ˈɑːftəmæθ/,/ˈæftərmæθ/,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc.","in the aftermath of something, A lot of rebuilding took place in the aftermath of the war.",aftermath_uk.mp3,aftermath_us.mp3
131,afternoon,noun,a1,/ˌɑːftəˈnuːn/,/ˌæftərˈnuːn/,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening,this/yesterday/tomorrow afternoon,afternoon_uk.mp3,afternoon_us.mp3
132,afterwards,adverb,b2,/ˈɑːftəwədz/,/ˈæftərwərdz/,at a later time; after an event that has already been mentioned,Afterwards she was sorry for what she'd said.,afterwards_uk.mp3,afterwards_us.mp3
133,again,adverb,a1,/əˈɡen/,/əˈɡen/,one more time; on another occasion,This must never happen again.,again_uk.mp3,again_us.mp3
134,against,preposition,a2,/əˈɡenst/,/əˈɡenst/,opposing or disagreeing with somebody/something,the fight against terrorism,against_uk.mp3,against_us.mp3
135,age,noun,a1,/eɪdʒ/,/eɪdʒ/,the number of years that a person has lived or a thing has existed,You're the same age as my brother.,age_uk.mp3,age_us.mp3
136,age,verb,b1,/eɪdʒ/,/eɪdʒ/,to become older,"As he aged, his memory got worse.",age_uk.mp3,age_us.mp3
137,aged,adjective,b1,/eɪdʒd/,/eɪdʒd/,of the age of,They have two children aged six and nine.,aged_uk.mp3,aged_us.mp3
138,agency,noun,b2,/ˈeɪdʒənsi/,/ˈeɪdʒənsi/,a business or an organization that provides a particular service especially when representing other businesses or organizations,She works for an advertising agency.,agency_uk.mp3,agency_us.mp3
139,agenda,noun,b2,/əˈdʒendə/,/əˈdʒendə/,a list of items to be discussed at a meeting,We have a very full agenda of issues to discuss.,agenda_uk.mp3,agenda_us.mp3
140,agent,noun,b1,/ˈeɪdʒənt/,/ˈeɪdʒənt/,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.",Our agent in New York deals with all US sales.,agent_uk.mp3,agent_us.mp3
141,aggression,noun,c1,/əˈɡreʃn/,/əˈɡreʃn/,feelings of anger and hate that may result in threatening or violent behaviour,The research shows that computer games may cause aggression.,aggression_uk.mp3,aggression_us.mp3
142,aggressive,adjective,b2,/əˈɡresɪv/,/əˈɡresɪv/,"angry, and behaving in a threatening way; ready to attack",Seals have been known to exhibit aggressive behaviour towards swimmers.,aggressive_uk.mp3,aggressive_us.mp3
143,ago,adverb,a1,/əˈɡəʊ/,/əˈɡəʊ/,used in expressions of time with the simple past tense to show how far in the past something happened,two weeks/months/years ago,ago_uk.mp3,ago_us.mp3
144,agree,verb,a1,/əˈɡriː/,/əˈɡriː/,to have the same opinion as somebody; to say that you have the same opinion,"When he said that, I had to agree.",agree_uk.mp3,agree_us.mp3
145,agreement,noun,b1,/əˈɡriːmənt/,/əˈɡriːmənt/,"an arrangement, a promise or a contract made with somebody",an international peace agreement,agreement_uk.mp3,agreement_us.mp3
146,agricultural,adjective,c1,/ˌæɡrɪˈkʌltʃərəl/,/ˌæɡrɪˈkʌltʃərəl/,connected with the science or practice of farming,agricultural policy/land/production/development,agricultural_uk.mp3,agricultural_us.mp3
147,agriculture,noun,b2,/ˈæɡrɪkʌltʃə(r)/,/ˈæɡrɪkʌltʃər/,the science or practice of farming,The number of people employed in agriculture has fallen in the last decade.,agriculture_uk.mp3,agriculture_us.mp3
148,ah,exclamation,a2,/ɑː/,/ɑː/,"used to express surprise, pleasure or sympathy, or when you disagree with somebody","Ah, there you are!",ah_uk.mp3,ah_us.mp3
149,ahead,adverb,b1,/əˈhed/,/əˈhed/,further forward in space or time; in front,I'll run ahead and warn them.,ahead_uk.mp3,ahead_us.mp3
